id,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
37, الرياض,   حي الياسمين ,شمال,300,3,4,3,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,110000
38, الرياض,   حي النرجس ,غرب,300,0,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,70000
39, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
40, الرياض,   حي المعيزلة ,غرب,300,5,5,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,45000
41, الرياض,   حي النزهة ,شمال,300,0,7,5,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,125000
42, الرياض,   حي المعيزلة ,غرب,250,0,5,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,55000
43, الرياض,   حي السليمانية ,غرب,375,10,4,5,3,1,1,1,1,0,1,0,1,1,1,1,1,0,0,110000
44, الرياض,   حي الرمال ,شمال,300,0,4,4,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,45000
45, الرياض,   حي المونسية ,جنوب,312,0,3,4,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,65000
46, الرياض,   حي الرمال ,جنوب,312,0,5,5,5,0,1,1,1,1,0,1,1,1,0,0,1,0,0,50000
47, الرياض,   حي الرمال ,غرب,300,0,3,5,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
48, الرياض,   حي العارض ,شمال,400,0,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000
49, الرياض,   حي القادسية ,غرب,250,0,5,5,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,55000
50, الرياض,   حي القادسية ,غرب,250,0,5,5,2,0,1,1,0,0,0,1,0,0,0,1,1,0,0,55000
51, الرياض,   حي الربيع ,جنوب غربي,327,10,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000
52, الرياض,   حي النرجس ,شمال,336,0,5,5,2,1,1,1,1,0,1,0,1,1,0,0,0,1,0,140000
53, الرياض,   حي العارض ,شرق,325,7,5,5,4,1,1,0,1,0,1,1,0,1,0,0,1,0,0,90000
54, الرياض,   حي المونسية ,جنوب,325,2,4,4,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,50000
55, الرياض,   حي الياسمين ,شمال,312,9,6,5,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,85000
56, الرياض,   حي ظهرة لبن ,شمال غربي,500,8,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,50000
57, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
58, الرياض,   حي الروضة ,جنوب,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
59, الرياض,   حي النرجس ,شمال شرقي,450,0,5,4,3,1,1,1,0,0,1,1,0,1,1,0,1,0,0,110000
61, الرياض,   حي العليا ,شمال,500,27,5,5,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,115000
62, الرياض,   حي عكاظ ,شرق,360,0,6,3,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
63, الرياض,   حي الورود ,غرب,400,10,3,4,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,80000
64, الرياض,   حي النرجس ,شمال شرقي,450,0,5,5,3,1,1,1,1,0,1,1,0,1,0,0,1,0,0,110000
65, الرياض,   حي المونسية ,شرق,200,2,7,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,65000
66, الرياض,   حي الروضة ,جنوب,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
67, الرياض,   حي الملقا ,جنوب,200,3,5,5,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,85000
68, الرياض,   حي العارض ,شرق,375,0,4,5,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,110000
71, الرياض,   حي المونسية ,جنوب,360,2,4,3,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,55000
72, الرياض,   حي الربوة ,غرب,330,10,5,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,79000
73, الرياض,   حي القيروان ,شرق,500,0,5,4,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,35000
74, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
75, الرياض,   حي عليشة ,شمال,325,12,5,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,50000
76, الرياض,   حي الرمال ,غرب,310,0,7,4,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,56000
77, الرياض,   حي السليمانية ,غرب,220,9,4,4,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
78, الرياض,   حي الملك فيصل ,غرب,250,15,7,5,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,40000
79, الرياض,   حي الملقا ,شرق,200,3,5,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,85000
80, الرياض,   حي الرمال ,شرق,298,0,3,4,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,45000
81, الرياض,   حي الرمال ,جنوب,300,0,6,5,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,40000
82, الرياض,   حي النرجس ,شرق,250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000
83, الرياض,   حي العقيق ,جنوب,300,6,4,5,3,1,1,1,1,0,1,0,0,1,1,1,0,0,0,120000
85, الرياض,   حي النرجس ,شرق,230,0,3,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,90000
87, الرياض,   حي الملقا ,شرق,228,0,4,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,150000
88, الرياض,   حي العارض ,شمال,200,4,5,5,2,1,1,1,1,1,1,1,0,1,0,1,1,0,1,110000
89, الرياض,   حي الياسمين ,شمال شرقي,350,4,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,1,125000
90, الرياض,   حي السليمانية ,جنوب غربي,300,7,4,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,125000
91, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
93, الرياض,   حي الحزم ,شرق,298,0,5,5,3,1,1,0,1,0,0,1,0,1,0,1,1,0,0,50000
94, الرياض,   حي الرمال ,شمال,300,0,4,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,45000
95, الرياض,   حي العارض ,جنوب,300,0,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,85000
97, الرياض,   حي النرجس ,شرق,250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000
98, الرياض,   حي العارض ,شرق,375,3,5,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,110000
99, الرياض,   حي الشهداء ,شرق,300,15,7,5,2,0,1,1,1,0,0,0,0,1,0,1,1,0,0,50000
101, الرياض,   حي قرطبة ,شرق,312,10,4,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,1,85000
102, الرياض,   حي الصحافة ,غرب,350,2,5,5,2,1,0,1,1,0,1,0,0,1,1,0,1,0,1,90000
104, الرياض,   حي العارض ,جنوب,300,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000
105, الرياض,   حي المونسية ,شرق,253,5,4,5,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,50000
106, الرياض,   حي النفل ,غرب,500,0,7,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,160000
108, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
109, الرياض,   حي الروضة ,غرب,300,0,4,4,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,85000
110, الرياض,   حي الروضة ,جنوب,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
111, الرياض,   حي المونسية ,شرق,225,0,4,3,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,100000
112, الرياض,   حي السليمانية ,شمال,200,8,4,5,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,90000
113, الرياض,   حي السليمانية ,جنوب,220,8,4,4,3,1,1,0,1,0,1,0,0,1,0,0,1,0,0,90000
114, الرياض,   حي العارض ,جنوب,300,0,4,5,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0,85000
115, الرياض,   حي الرمال ,شمال شرقي,280,0,5,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,42000
116, الرياض,   حي الملك فهد ,شرق,270,30,3,5,3,1,1,1,1,0,1,0,0,1,0,1,1,0,0,70000
117, الرياض,   حي العزيزية ,جنوب,312,4,5,5,2,1,1,0,1,1,1,0,0,1,0,0,1,1,0,90000
119, الرياض,   حي الواحة ,شرق,375,11,4,5,3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,95000
120, الرياض,   حي النرجس ,شمال,300,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,0,1,1,120000
121, الرياض,   حي ظهرة لبن ,شرق,450,3,7,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,60000
122, الرياض,   حي النسيم الشرقي ,شمال,200,7,3,5,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31000
123, الرياض,   حي القادسية ,شمال,384,0,5,5,2,1,1,1,1,0,0,1,0,0,0,0,1,0,1,80000
124, الرياض,   حي القادسية ,غرب,250,0,5,5,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,55000
126, الرياض,   حي المصيف ,شمال,425,33,4,3,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,80000
127, الرياض,   حي طويق ,جنوب غربي,300,0,4,5,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,37000
128, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
129, الرياض,   حي العارض ,جنوب,360,0,5,5,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,110000
130, الرياض,   حي المونسية ,جنوب,312,0,3,4,2,1,1,0,1,0,0,1,0,1,0,0,1,1,0,65000
131, الرياض,   حي قرطبة ,شمال,390,5,7,5,4,1,1,1,1,0,1,0,0,1,0,0,1,0,0,130000
132, الرياض,   حي الرمال ,جنوب,280,3,4,3,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,3300
133, الرياض,   حي الملقا ,جنوب,200,2,6,5,2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
134, الرياض,   حي النرجس ,شرق,230,0,5,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,85000
135, الرياض,   حي الفيحاء ,4 شوارع,360,0,4,3,2,1,1,0,0,1,1,0,1,1,0,0,1,0,0,75000
136, الرياض,   حي المونسية ,شمال,312,2,3,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,145000
137, الرياض,   حي الرمال ,شرق,460,4,5,5,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,75000
139, الرياض,   حي المهدية ,جنوب,250,0,5,5,2,0,1,0,1,0,0,0,0,1,0,1,1,0,0,50000
140, الرياض,   حي الرمال ,شمال شرقي,350,0,5,5,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,55000
141, الرياض,   حي الرمال ,شمال,450,0,5,5,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,60000
142, الرياض,   حي الزهرة ,جنوب شرقي,500,14,4,5,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,45000
143, الرياض,   حي النرجس ,شرق,260,0,3,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,100000
144, الرياض,   حي الشهداء ,جنوب,205,0,5,5,2,0,1,0,1,0,1,0,0,1,0,1,1,1,0,140000
145, الرياض,   حي العارض ,شرق,250,2,4,5,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,85000
146, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
147, الرياض,   حي الرمال ,شرق,460,4,1,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,75000
148, الرياض,   حي الملقا ,جنوب,200,3,7,5,2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
150, الرياض,   حي الرمال ,غرب,400,0,5,5,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,60000
151, الرياض,   حي اليرموك ,شمال,300,10,4,3,2,1,1,1,1,0,0,0,0,1,0,0,1,0,0,65000
152, الرياض,   حي الملقا ,جنوب,375,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,120000
153, الرياض,   حي العارض ,شرق,300,2,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
154, الرياض,   حي الرمال ,شمال,300,0,4,5,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,38000
155, الرياض,   حي عليشة ,جنوب شرقي,340,0,3,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,55000
156, الرياض,   حي العارض ,شرق,250,2,7,4,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,110000
157, الرياض,   حي العقيق ,جنوب,300,15,5,4,3,1,0,1,1,0,1,0,0,0,0,0,1,0,0,120000
158, الرياض,   حي الرحمانية ,شمال شرقي,450,13,7,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,120000
159, الرياض,   حي المصيف ,غرب,500,10,5,5,5,1,1,1,1,0,1,1,0,1,1,0,1,1,0,150000
160, الرياض,   حي المونسية ,غرب,290,0,4,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,60000
161, الرياض,   حي المصيف ,جنوب,400,15,3,3,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,80000
162, الرياض,   حي النرجس ,شرق,270,0,4,5,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0,100000
163, الرياض,   حي ظهرة لبن ,شمال,200,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000
164, الرياض,   حي الملقا ,غرب,200,0,4,5,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,150000
165, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
166, الرياض,   حي الرمال ,شمال شرقي,300,0,5,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,48000
167, الرياض,   حي الملقا ,جنوب,250,2,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
168, الرياض,   حي العارض ,جنوب,300,2,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,80000
170, الرياض,   حي اليرموك ,غرب,375,7,4,5,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,65000
171, الرياض,   حي العارض ,شمال,250,0,5,4,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,80000
172, الرياض,   حي العقيق ,جنوب,300,0,5,5,3,1,0,1,1,0,1,1,0,1,0,0,1,0,0,140000
173, الرياض,   حي ظهرة لبن ,شرق,450,2,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,1,60000
174, الرياض,   حي النرجس ,شمال,300,0,4,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,70000
175, الرياض,   حي طويق ,جنوب غربي,320,3,6,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,35000
177, الرياض,   حي الملقا ,جنوب,375,2,4,4,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,130000
178, الرياض,   حي العارض ,جنوب,300,0,4,2,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,80000
179, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
180, الرياض,   حي المحمدية ,شرق,460,20,5,5,3,1,1,0,1,0,1,1,0,1,1,0,1,0,0,100000
181, الرياض,   حي ام سليم ,جنوب شرقي,340,0,4,3,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,45000
182, الرياض,   حي الاندلس ,شمال,330,15,7,5,3,1,1,0,1,0,1,1,0,1,0,1,1,0,0,75000
185, الرياض,   حي السليمانية ,شمال,400,0,6,5,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
186, الرياض,   حي القيروان ,شرق,300,0,2,5,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,80000
187, الرياض,   حي الرمال ,شمال,206,0,4,4,2,1,1,0,1,0,1,1,0,1,0,0,1,0,0,50000
188, الرياض,   حي الواحة ,شرق,550,18,4,4,4,1,1,1,1,0,0,0,0,1,0,0,1,0,0,90000
190, الرياض,   حي المهدية ,جنوب,300,0,6,5,2,0,1,0,1,0,0,1,0,1,0,0,1,0,1,42000
191, الرياض,   حي الصحافة ,شرق,375,7,3,5,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,140000
192, الرياض,   حي ظهرة لبن ,شرق,450,0,7,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,60000
193, الرياض,   حي الرمال ,جنوب,290,0,5,5,3,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
194, الرياض,   حي العارض ,غرب,394,0,4,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,140000
197, الرياض,   حي العارض ,شمال,312,0,4,5,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,100000
198, الرياض,   حي الملقا ,شرق,416,0,4,4,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,160000
199, الرياض,   حي السليمانية ,شمال,270,5,3,4,2,1,1,1,1,0,1,0,1,1,0,1,1,0,0,125000
200, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
201, الرياض,   حي النرجس ,شمال,230,0,4,3,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,80000
202, الرياض,   حي العارض ,شرق,300,0,5,4,2,1,1,0,1,0,1,1,0,1,0,1,0,0,0,85000
203, الرياض,   حي الزهرة ,شمال,280,10,7,4,2,1,1,0,1,0,0,0,0,1,0,1,1,0,0,35000
205, الرياض,   حي الصحافة ,غرب,375,10,4,5,4,1,1,1,1,1,1,1,0,1,0,0,1,0,0,105000
206, الرياض,   حي الصحافة ,غرب,320,7,5,4,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,90000
207, الرياض,   حي المعيزلة ,غرب,300,0,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,45000
208, الرياض,   حي الرائد ,جنوب,375,8,4,5,2,1,1,0,1,0,1,1,0,0,0,0,1,0,0,100000
209, الرياض,   حي الصحافة ,شمال شرقي,250,7,4,5,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,95000
211, الرياض,   حي طويق ,شرق,264,0,7,5,3,1,1,0,1,0,1,1,0,1,0,1,1,0,1,50000
212, الرياض,   حي الرحمانية ,شمال,450,12,7,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,130000
213, الرياض,   حي اشبيلية ,جنوب,360,6,7,5,2,0,1,1,1,0,1,1,0,1,0,0,1,0,1,80000
214, الرياض,   حي الرمال ,شمال,206,2,4,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,60000
215, الرياض,   حي العقيق ,غرب,318,7,4,4,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,85000
216, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
217, الرياض,   حي اليرموك ,جنوب شرقي,400,8,7,5,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,60000
218, الرياض,   حي الوشام ,شرق,525,25,3,3,2,1,1,0,1,0,1,0,1,1,0,0,1,0,0,90000
219, الرياض,   حي اليرموك ,جنوب,275,10,5,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,60000
220, الرياض,   حي المهدية ,شرق,227,0,5,5,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,55000
221, الرياض,   حي اليرموك ,غرب,313,6,5,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,65000
223, الرياض,   حي قرطبة ,شمال,360,10,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,75000
224, الرياض,   حي السليمانية ,شمال,300,15,4,4,2,1,1,0,0,0,1,0,1,1,0,1,1,0,0,90000
225, الرياض,   حي الرمال ,شمال,350,0,5,5,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,45000
227, الرياض,   حي المونسية ,غرب,420,3,4,4,2,1,1,0,0,0,1,0,1,1,0,0,1,0,1,90000
228, الرياض,   حي الملقا ,شمال,250,5,3,5,2,1,1,1,1,1,1,0,0,1,0,1,1,0,0,155000
229, الرياض,   حي العارض ,شمال,430,2,5,5,2,1,1,1,1,0,0,1,0,1,0,0,0,0,0,65000
230, الرياض,   حي النرجس ,جنوب,267,3,3,5,2,1,1,1,1,0,1,0,0,0,0,1,1,0,0,100000
232, الرياض,   حي الرائد ,شمال,312,0,5,5,2,1,1,1,1,0,1,0,0,1,1,0,1,0,0,120000
233, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
234, الرياض,   حي العارض ,جنوب,250,0,3,5,2,1,1,1,1,1,1,0,0,1,0,1,1,0,0,110000
235, الرياض,   حي القادسية ,جنوب,300,0,6,4,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,55000
237, الرياض,   حي العارض ,جنوب,300,0,4,4,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,80000
238, الرياض,   حي الياسمين ,شمال غربي,390,5,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,150000
239, الرياض,   حي الخليج ,جنوب,375,10,5,5,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,65000
240, الرياض,   حي العارض ,جنوب,440,0,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,110000
241, الرياض,   حي الملك فهد ,غرب,240,14,3,4,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0,70000
242, الرياض,   حي القيروان ,شرق,300,0,5,5,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,125000
243, الرياض,   حي العارض ,شمال,270,0,7,5,5,1,1,1,1,1,1,1,0,1,0,0,1,1,0,150000
244, الرياض,   حي العارض ,جنوب,300,0,4,5,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,100000
245, الرياض,   حي الحزم ,شمال شرقي,360,6,7,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,36000
247, الرياض,   حي الشرق ,شرق,245,0,4,5,3,1,1,0,1,0,0,0,0,1,0,1,1,0,0,40000
248, الرياض,   حي المهدية ,شمال,420,0,7,5,3,1,1,0,1,0,0,1,0,1,0,0,1,0,1,75000
249, الرياض,   حي النرجس ,شمال,300,3,5,5,2,1,0,1,1,0,0,0,0,1,0,1,1,0,0,70000
250, الرياض,   حي الملز ,غرب,350,12,7,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,85000
251, الرياض,   حي النسيم الغربي ,شمال غربي,500,35,5,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,32000
252, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
254, الرياض,   حي الملك فيصل ,جنوب,375,18,6,5,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,56000
255, الرياض,   حي الملقا ,جنوب,200,4,5,5,2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
256, الرياض,   حي الرمال ,شرق,240,0,4,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,1,40000
